k1	mu	t	BS	1sig	UL	Ntri
0.5597751288992946	0.95	0.55	6.762186798518806e+16	4695743917124.381	6.76312594730223e+16	3444844818.0
0.5597751288992946	0.95	0.65	-2.5108557319685428e+16	4605457372153.619	2.511776823442973e+16	3820977324.0
0.5597751288992946	0.95	0.75	-2.8726171047098024e+16	4397633912951.651	2.8734966314923916e+16	3810329356.0
0.5597751288992946	0.95	0.85	-1.7626538517927096e+16	4054071707989.314	1.7634646661343072e+16	3798818718.0
0.5597751288992946	0.95	0.95	6.2160211172738664e+16	4244512132369.3223	6.216870019700341e+16	3800125756.0
0.8245423944370325	0.95	0.55	5.1708163131330643e+17	31254096313731.598	5.171441395059339e+17	7762034916.0
0.8245423944370325	0.95	0.65	-2778082890922862.0	32813022523232.176	2843708935969327.5	8126878550.0
0.8245423944370325	0.95	0.75	-2.5024986023855517e+17	30280792574732.387	2.503104218237047e+17	8109772432.0
0.8245423944370325	0.95	0.85	-1.6654746930539728e+17	27051114061427.297	1.6660157153352013e+17	8115806462.0
0.8245423944370325	0.95	0.95	-2.154794022697399e+17	31270395797806.836	2.155419430613355e+17	8070960142.0
1.2145415634324581	0.95	0.55	-8.209146966855287e+17	249864824475910.53	8.214144263344805e+17	17388452072.0
1.2145415634324581	0.95	0.65	3.873996336051222e+17	215486084984313.4	3.8783060577509075e+17	17728349566.0
1.2145415634324581	0.95	0.75	-5.960138044732166e+17	183404219066650.88	5.963806129113499e+17	17719157244.0
1.2145415634324581	0.95	0.85	1.0031675419825124e+18	206100715889860.88	1.0035797434142922e+18	17723811440.0
1.2145415634324581	0.95	0.95	2.8674907934891187e+18	178762266569201.3	2.8678483180222577e+18	17729710004.0
1.789005901039341	0.95	0.55	1.4398069296619758e+18	1199942203124892.2	1.4422068140682255e+18	38149591818.0
1.789005901039341	0.95	0.65	-3.3807401736151404e+18	1633069825292699.8	3.3840063132657254e+18	38504993644.0
1.789005901039341	0.95	0.75	3.7546488214777564e+18	1365371119923604.5	3.7573795637176044e+18	38481917620.0
1.789005901039341	0.95	0.85	-2.9496776603610414e+18	1426425284850898.5	2.9525305109307443e+18	38466635398.0
1.789005901039341	0.95	0.95	-9.731845806748411e+17	1373657030114365.8	9.7593189473507e+17	38487023236.0
2.635185332734453	0.95	0.55	-5.455666723132901e+17	8531382111351413.0	5.626294365359928e+17	82704970062.0
2.635185332734453	0.95	0.65	5.474639817848722e+18	8374932144163408.0	5.491389682137049e+18	83054026426.0
